date,avgR,stdR,avgS,stdS
20211021,-0.10287739342007828,2.0510116690274387,5.240029620226383,7.901035319704009
20211022,-0.2793129605548331,2.4229024560800165,4.574040962288686,6.733553802010047
20211025,-0.10562708016202689,2.1133515130864216,5.0608632833664435,7.712274441176655
20211026,-0.06549061175045427,1.9147952476604495,5.370356349687058,8.089379973567945
20211027,-0.04858234249744445,1.9125882376678132,5.5620057029106365,8.524666921020932
20211028,-0.21742787236211641,2.201319605006655,5.131537363645632,7.992222962620893
20211029,-0.053129839636309135,1.9863650272945628,5.838387370734876,8.52918953618653
20211101,0.06805753531164961,1.8040836067184816,6.230244913826617,9.54165146696331
20211102,-0.03563247645711377,1.9530511043653374,5.575922626622551,8.638970731027193
20211103,-0.07000876136239186,2.1919571249449876,6.5716515168108645,10.263956241211867
20211104,0.032538893516403794,1.8634181062546231,5.776688072654969,9.020293485444652
20211105,0.022476938760287425,1.8254582140722966,5.974066983266615,9.152813022345812
20211108,0.04635252313648538,1.6573664857685362,5.6898782848505745,8.351919403922079
20211109,0.0808285518766121,1.6517705460059553,7.24040637995473,10.747351156480592
20211110,-0.02259256503732361,1.9206180274721747,6.6198943530987275,10.05550294206852
20211111,0.05674432556744326,1.8523327578649202,9.153509649035097,13.441785196624913
20211112,0.024360505623569225,1.950729007683078,8.600577286752264,12.893983637308894
20211115,0.10010445682451254,1.772123527210906,7.296159968165539,10.841413409007659
20211116,0.11606987550629923,1.4872904359203056,6.323136943070844,9.459198109480303
20211117,0.15516165272749968,1.5385097063545659,9.735663462738735,13.918037808038932
20211118,0.09653627622377622,1.774774996818157,9.40701486013986,13.758944443173634
20211119,0.11624733263857873,1.6123683071502437,7.96407126197211,11.715802836642267
20211122,0.12199910532332621,1.650196933032041,8.442790397137035,12.176477683024853
20211123,0.16518279035065905,1.5200463996577318,11.089032578960458,15.421740294054764
20211124,0.08174224343675418,1.7834648485488611,10.932370032167688,15.64206643027175
20211125,0.1674082175436852,1.5071066574291199,10.574830354701598,14.846352077149687
20211126,0.19263727444533615,1.3690224003234455,8.81867605560877,12.075542555782063
20211129,0.15646882081837393,1.4782950749682735,8.571155755862806,12.247651838693102
20211130,0.16202871326982424,1.2001796751447396,6.019079565275728,8.39423657554851
20211201,0.16964976659427344,1.3751498917387617,8.69924361566689,11.989580096128833
20211202,0.15229005653820218,1.4786703202441527,8.982001141138026,12.74200610421822
20211203,0.10070932651577813,1.742987841376294,8.694663759179889,12.755161593531332
20211206,0.0683515531983981,1.4985592530318605,7.346466067756251,10.43663826852275
20211207,0.1577255999585342,1.6336126377801263,10.092987093764577,13.586503385042926
20211208,0.19876839738348323,1.295658167022271,8.845717497955846,12.072677887105996
20211209,0.17666839110191412,1.4818557290355485,9.282850491464046,12.8458306656611
20211210,0.20285938013084442,1.359387150110168,9.671853292581272,13.674242985211992
20211213,0.07716589739508727,1.7520784471422086,12.469043450580934,16.583279412552088
20211214,0.10013304010208791,1.4362424819270998,12.250495506502673,15.942569992193489
20211215,0.2129505650473997,1.1928165132072186,10.698061164372556,14.221143606949608
20211216,0.18576940237789033,1.2958792439423872,10.568698984278628,13.9615111225312
20211217,0.1631737277513161,1.4978793583681185,10.943795437452996,14.874774342542427
20211220,0.07585489533220648,1.639295535375823,9.144142504225718,13.586764975578303
20211221,0.11718574949585481,1.6301199272135434,9.785371075758707,13.638233434331005
20211222,0.16295570061147088,1.4772522996404338,12.251915684099178,16.460992496863508
20211223,0.12320208099561358,1.307623761925413,9.47931755585025,12.412977945953724
20211224,0.14491470243521293,1.405454136850142,10.636098450319052,14.287766355133295
20211227,0.20298817721190074,1.2359671598832014,9.652513966480447,13.039319585370055
20211228,0.21487477864912724,1.3203619848601589,11.726688590943587,15.344965862521388
20211229,0.09427550095660055,1.9289171662148572,28.145579498539927,39.62598435919798
20211230,0.07784902994402478,2.0412833562713595,29.988587576762132,46.07581572480651
20211231,0.18909044779906128,1.186350004183236,9.053203095268298,11.431760854641205
